"day","sw_name","percent"
2023-05-26 08:00:00,汽车零部件II,8.94
2023-05-26 08:00:00,通用机械II,8.60
2023-05-26 08:00:00,电网设备II,7.93
2023-05-26 08:00:00,专用设备II,6.24
2023-05-26 08:00:00,自动化设备II,4.72
2023-05-26 08:00:00,电力II,3.37
2023-05-26 08:00:00,化学制药II,3.37
2023-05-26 08:00:00,中药II,2.70
2023-05-26 08:00:00,医疗器械II,2.70
2023-05-26 08:00:00,光学光电子II,2.53
2023-05-26 08:00:00,化学制品II,2.53
2023-05-26 08:00:00,计算机设备II,2.53
2023-05-26 08:00:00,通信设备II,2.02
2023-05-26 08:00:00,环境治理II,2.02
2023-05-26 08:00:00,IT服务II,1.35
2023-05-26 08:00:00,电机II,1.35
2023-05-26 08:00:00,塑料II,1.35
2023-05-26 08:00:00,电子制造II,1.35
2023-05-26 08:00:00,家电零部件II,1.35
2023-05-26 08:00:00,电源设备II,1.18
2023-05-26 08:00:00,软件开发II,1.18
2023-05-26 08:00:00,元件II,1.18
2023-05-26 08:00:00,光伏设备II,1.18
2023-05-26 08:00:00,环保设备II,1.18
2023-05-26 08:00:00,航空装备II,1.18
2023-05-26 08:00:00,服装家纺II,1.01
2023-05-26 08:00:00,燃气II,1.01
2023-05-26 08:00:00,半导体II,0.843
2023-05-26 08:00:00,电子化学品II,0.843
2023-05-26 08:00:00,电池II,0.843
2023-05-26 08:00:00,运输设备II,0.843
2023-05-26 08:00:00,其他电子II,0.675
2023-05-26 08:00:00,医疗服务II,0.675
2023-05-26 08:00:00,工程咨询服务II,0.675
2023-05-26 08:00:00,游戏II,0.675
2023-05-26 08:00:00,基础建设II,0.675
2023-05-26 08:00:00,船舶制造II,0.675
2023-05-26 08:00:00,军工电子II,0.675
2023-05-26 08:00:00,通信运营II,0.675
2023-05-26 08:00:00,农化制品II,0.675
2023-05-26 08:00:00,风电设备II,0.675
2023-05-26 08:00:00,工业金属II,0.675
2023-05-26 08:00:00,家用轻工II,0.675
2023-05-26 08:00:00,房地产开发II,0.675
2023-05-26 08:00:00,包装印刷II,0.506
2023-05-26 08:00:00,广告营销II,0.506
2023-05-26 08:00:00,出版II,0.506
2023-05-26 08:00:00,其他建材II,0.506
2023-05-26 08:00:00,物流II,0.506
2023-05-26 08:00:00,水泥制造II,0.506
2023-05-26 08:00:00,教育II,0.337
2023-05-26 08:00:00,铁路公路II,0.337
2023-05-26 08:00:00,互联网电商II,0.337
2023-05-26 08:00:00,纺织制造II,0.337
2023-05-26 08:00:00,装修装饰II,0.337
2023-05-26 08:00:00,化妆品II,0.337
2023-05-26 08:00:00,地面兵装II,0.337
2023-05-26 08:00:00,化学纤维II,0.337
2023-05-26 08:00:00,金属非金属新材料II,0.337
2023-05-26 08:00:00,专业服务II,0.337
2023-05-26 08:00:00,Nan,0.337
2023-05-26 08:00:00,造纸II,0.337
2023-05-26 08:00:00,文娱用品II,0.337
2023-05-26 08:00:00,工程机械II,0.337
2023-05-26 08:00:00,视听器材II,0.169
2023-05-26 08:00:00,休闲食品II,0.169
2023-05-26 08:00:00,冶钢原料II,0.169
2023-05-26 08:00:00,炼化及贸易II,0.169
2023-05-26 08:00:00,白酒II,0.169
2023-05-26 08:00:00,航天装备II,0.169
2023-05-26 08:00:00,照明设备II,0.169
2023-05-26 08:00:00,综合II,0.169
2023-05-26 08:00:00,饰品II,0.169
2023-05-26 08:00:00,证券II,0.169
2023-05-26 08:00:00,一般零售II,0.169
2023-05-26 08:00:00,化学原料II,0.169
2023-05-26 08:00:00,渔业II,0.169
2023-05-26 08:00:00,商用车II,0.169
2023-05-26 08:00:00,医药商业II,0.169
2023-05-26 08:00:00,专业工程II,0.169
2023-05-26 08:00:00,小家电II,0.169
2023-05-26 08:00:00,个护用品II,0.169
2023-05-26 08:00:00,数字媒体II,0.169
2023-05-26 08:00:00,旅游及景区II,0.169
2023-05-26 08:00:00,非白酒II,0.169
2023-05-26 08:00:00,特钢II,0.169
2023-05-26 08:00:00,生物制品II,0.169
2023-05-26 08:00:00,普钢II,0.169
2023-05-25 08:00:00,通用机械II,9.27
2023-05-25 08:00:00,电网设备II,8.39
2023-05-25 08:00:00,专用设备II,7.17
2023-05-25 08:00:00,汽车零部件II,6.47
2023-05-25 08:00:00,电力II,5.94
2023-05-25 08:00:00,自动化设备II,4.55
2023-05-25 08:00:00,光学光电子II,2.45
2023-05-25 08:00:00,化学制品II,2.45
2023-05-25 08:00:00,光伏设备II,2.27
2023-05-25 08:00:00,化学制药II,2.10
2023-05-25 08:00:00,风电设备II,2.10
2023-05-25 08:00:00,服装家纺II,1.92
2023-05-25 08:00:00,医疗器械II,1.75
2023-05-25 08:00:00,中药II,1.75
2023-05-25 08:00:00,计算机设备II,1.75
2023-05-25 08:00:00,通信设备II,1.57
2023-05-25 08:00:00,电源设备II,1.57
2023-05-25 08:00:00,环境治理II,1.57
2023-05-25 08:00:00,电子制造II,1.40
2023-05-25 08:00:00,电机II,1.40
2023-05-25 08:00:00,塑料II,1.40
2023-05-25 08:00:00,家用轻工II,1.40
2023-05-25 08:00:00,IT服务II,1.22
2023-05-25 08:00:00,燃气II,1.22
2023-05-25 08:00:00,军工电子II,1.05
2023-05-25 08:00:00,航空装备II,1.05
2023-05-25 08:00:00,家电零部件II,1.05
2023-05-25 08:00:00,其他电子II,0.874
2023-05-25 08:00:00,环保设备II,0.874
2023-05-25 08:00:00,基础建设II,0.874
2023-05-25 08:00:00,农化制品II,0.874
2023-05-25 08:00:00,运输设备II,0.874
2023-05-25 08:00:00,船舶制造II,0.874
2023-05-25 08:00:00,纺织制造II,0.874
2023-05-25 08:00:00,电池II,0.874
2023-05-25 08:00:00,软件开发II,0.699
2023-05-25 08:00:00,工程咨询服务II,0.699
2023-05-25 08:00:00,其他建材II,0.699
2023-05-25 08:00:00,医疗服务II,0.525
2023-05-25 08:00:00,电子化学品II,0.525
2023-05-25 08:00:00,半导体II,0.525
2023-05-25 08:00:00,Nan,0.525
2023-05-25 08:00:00,物流II,0.525
2023-05-25 08:00:00,文娱用品II,0.525
2023-05-25 08:00:00,包装印刷II,0.350
2023-05-25 08:00:00,铁路公路II,0.350
2023-05-25 08:00:00,广告营销II,0.350
2023-05-25 08:00:00,休闲食品II,0.350
2023-05-25 08:00:00,游戏II,0.350
2023-05-25 08:00:00,装修装饰II,0.350
2023-05-25 08:00:00,地面兵装II,0.350
2023-05-25 08:00:00,工业金属II,0.350
2023-05-25 08:00:00,化妆品II,0.350
2023-05-25 08:00:00,炼化及贸易II,0.350
2023-05-25 08:00:00,房地产开发II,0.350
2023-05-25 08:00:00,综合II,0.350
2023-05-25 08:00:00,照明设备II,0.350
2023-05-25 08:00:00,小家电II,0.350
2023-05-25 08:00:00,造纸II,0.350
2023-05-25 08:00:00,专业服务II,0.350
2023-05-25 08:00:00,金属非金属新材料II,0.350
2023-05-25 08:00:00,生物制品II,0.350
2023-05-25 08:00:00,专业工程II,0.350
2023-05-25 08:00:00,工程机械II,0.350
2023-05-25 08:00:00,个护用品II,0.350
2023-05-25 08:00:00,厨卫电器II,0.350
2023-05-25 08:00:00,互联网电商II,0.175
2023-05-25 08:00:00,元件II,0.175
2023-05-25 08:00:00,白酒II,0.175
2023-05-25 08:00:00,视听器材II,0.175
2023-05-25 08:00:00,冶钢原料II,0.175
2023-05-25 08:00:00,航天装备II,0.175
2023-05-25 08:00:00,通信运营II,0.175
2023-05-25 08:00:00,渔业II,0.175
2023-05-25 08:00:00,调味发酵品II,0.175
2023-05-25 08:00:00,化学纤维II,0.175
2023-05-25 08:00:00,多元金融II,0.175
2023-05-25 08:00:00,医药商业II,0.175
2023-05-25 08:00:00,农产品加工II,0.175
2023-05-25 08:00:00,特钢II,0.175
2023-05-25 08:00:00,非白酒II,0.175
2023-05-25 08:00:00,油服工程II,0.175
2023-05-25 08:00:00,食品加工II,0.175
2023-05-25 08:00:00,商用车II,0.175
2023-05-25 08:00:00,饮料乳品II,0.175
